geometry_id,A0_m2,L_comb_m,A6_frac,A2_m2,A3_m2,A6_m2,L23_m,L34_m
1,4.4,0.3,1.4,3.96,4.84,6.16,0.18,0.12
2,4.4,0.3,1.5,3.96,4.84,6.6,0.18,0.12
3,4.4,0.3,1.6,3.96,4.84,7.04,0.18,0.12
4,4.4,0.5,1.4,3.96,4.84,6.16,0.3,0.2
5,4.4,0.5,1.5,3.96,4.84,6.6,0.3,0.2
6,4.4,0.5,1.6,3.96,4.84,7.04,0.3,0.2
7,4.4,0.7,1.4,3.96,4.84,6.16,0.42,0.28
8,4.4,0.7,1.5,3.96,4.84,6.6,0.42,0.28
9,4.4,0.7,1.6,3.96,4.84,7.04,0.42,0.28
10,4.4,0.9,1.4,3.96,4.84,6.16,0.54,0.36
11,4.4,0.9,1.5,3.96,4.84,6.6,0.54,0.36
12,4.4,0.9,1.6,3.96,4.84,7.04,0.54,0.36
13,4.5,0.3,1.2,4.05,4.95,5.4,0.18,0.12
14,4.5,0.3,1.3,4.05,4.95,5.85,0.18,0.12
15,4.5,0.3,1.4,4.05,4.95,6.3,0.18,0.12
16,4.5,0.3,1.5,4.05,4.95,6.75,0.18,0.12
17,4.5,0.3,1.6,4.05,4.95,7.2,0.18,0.12
18,4.5,0.5,1.2,4.05,4.95,5.4,0.3,0.2
19,4.5,0.5,1.3,4.05,4.95,5.85,0.3,0.2
20,4.5,0.5,1.4,4.05,4.95,6.3,0.3,0.2
21,4.5,0.5,1.5,4.05,4.95,6.75,0.3,0.2
22,4.5,0.5,1.6,4.05,4.95,7.2,0.3,0.2
23,4.5,0.7,1.2,4.05,4.95,5.4,0.42,0.28
24,4.5,0.7,1.3,4.05,4.95,5.85,0.42,0.28
25,4.5,0.7,1.4,4.05,4.95,6.3,0.42,0.28
26,4.5,0.7,1.5,4.05,4.95,6.75,0.42,0.28
27,4.5,0.7,1.6,4.05,4.95,7.2,0.42,0.28
28,4.5,0.9,1.2,4.05,4.95,5.4,0.54,0.36
29,4.5,0.9,1.3,4.05,4.95,5.85,0.54,0.36
30,4.5,0.9,1.4,4.05,4.95,6.3,0.54,0.36
31,4.5,0.9,1.5,4.05,4.95,6.75,0.54,0.36
32,4.5,0.9,1.6,4.05,4.95,7.2,0.54,0.36
